# Algebraic_geometry micro-round (corpus=enwiki): pos_ag_down (downward within-AG) + cross_ag_bound (bidir boundary to algebra/geometry siblings) + free neg. 1 Haiku subagent ~16k tok.
# cols: a<TAB>b<TAB>stratum<TAB>walk_len<TAB>mu
Theorems_in_algebraic_geometry	People_by_political_orientation_and_nationality	neg	-1	0.0
Theorems_in_complex_geometry	Radio-frequency_identification_companies	neg	-1	0.0
Algebraic_geometry	Physics_in_Germany	neg	-1	0.0
Arithmetic_geometry	Diophantine_geometry	pos_ag_down	1	0.85
Singularity_theory	Automated_teller_machines	neg	-1	0.0
Algebraic_geometry	Theorems_in_complex_geometry	pos_ag_down	2	0.72
Abelian_varieties	Theorems_about_curves	cross_ag_bound	-1	0.65
Conic_sections	Self-driving_cars	neg	-1	0.0
Algebraic_surfaces	IBM_computer_terminals	neg	-1	0.0
Algebraic_geometry	Moduli_theory	pos_ag_down	1	1.00
Quadrics	Petroleum_technology	neg	-1	0.0
Nonlinear_algebra	Manifolds	cross_ag_bound	-1	0.45
Morphisms_of_schemes	3-manifolds	neg	-1	0.0
Nonlinear_algebra	Engineering_companies_of_France	neg	-1	0.0
Bifurcation_theory	Diophantine_geometry	pos_ag_down	-1	0.25
Stacks_(mathematics)	Geometry_processing	cross_ag_bound	-1	0.15
Curves	Classical_geometry	cross_ag_bound	-1	0.75
Diophantine_geometry	Three-body_orbits	neg	-1	0.0
Conic_sections	Regular_graphs	neg	-1	0.0
Invariant_theory	C-type_asteroids	neg	-1	0.0
Algebraic_groups	2nd-millennium_establishments_in_Canada	neg	-1	0.0
Morphisms_of_schemes	Social_network_analysis	neg	-1	0.0
Arithmetic_geometry	Floating_architecture	neg	-1	0.0
Tropical_geometry	Mastic	neg	-1	0.0
Diophantine_geometry	Ancient_Greek_geometers	neg	-1	0.0
Symmetric_functions	Hungarian_scientists	neg	-1	0.0
Symmetric_functions	Error_measures	neg	-1	0.0
Invariant_theory	Isotopes_of_cobalt	neg	-1	0.0
Coordinate_systems	Algebraists	cross_ag_bound	-1	0.08
Topological_methods_of_algebraic_geometry	Geometric_data_structures	neg	-1	0.0
Quadrics	Glossaries_of_mathematics	neg	-1	0.0
Moduli_theory	Software_engineering_stubs	neg	-1	0.0
Topological_methods_of_algebraic_geometry	Construction_surveying	neg	-1	0.0
Coordinate_systems	Isotopes_of_nickel	neg	-1	0.0
Invariant_theory	Mountains_of_Israel	neg	-1	0.0
Algebraic_geometry	Algebraic_groups	pos_ag_down	-1	0.85
Moduli_theory	Software_programmed_in_MATLAB	neg	-1	0.0
Complex_manifolds	Women_in_mathematics	cross_ag_bound	-1	0.02
Topological_methods_of_algebraic_geometry	Chemical_vapour_deposition_precursors	neg	-1	0.0
Abelian_varieties	Database_index_techniques	neg	-1	0.0
Stacks_(mathematics)	Assam	neg	-1	0.0
Coordinate_systems	Fiction_about_nebulae	neg	-1	0.0
