# Enlarged scored set (core-physics): mu_pairs_scored_matheng.tsv + targeted CORE-PHYSICS
# strata (gen_core_physics_pairs.py, Haiku ~15.6k tok): pos_corephys (within classical
# physics subfields), cross_PM/PC/PE (core-physics × {Math,Chem,Eng}) + free negatives.
# cols: a<TAB>b<TAB>stratum<TAB>walk_len<TAB>mu
Euthenics	2022_movies	neg	-1	0.0
Biological_reproduction	Manufacturing_companies_of_Germany	neg	-1	0.0
Births_by_millennium	Dutch_people	neg	-1	0.0
Geology	Movies_by_country_of_setting	neg	-1	0.0
History_of_India_by_period	Births_by_century	neg	-1	0.0
Physics	Matter	pos	1	0.9
Natural_sciences	Armenian_people	neg	-1	0.0
Fire	People's_Republic_of_China	neg	-1	0.0
Airports_in_Asia	Luton	neg	-1	0.0
Mathematics	Bodies_of_water_by_continent	neg	-1	0.0
Health_in_the_United_States	Deaths_by_cause_and_country	pos	6	0.8
American_food_companies	Government_of_Poland	neg	-1	0.0
Animal_enclosures	20th-century_establishments_in_Africa	neg	-1	0.0
Science_and_technology_magazines	1907_establishments_by_country	neg	-1	0.0
Noble_gas_compounds	Composers	neg	-1	0.0
Airports_by_country	History_by_continent	neg	-1	0.0
Disasters_by_continent	Cities_in_Norway	neg	-1	0.0
Rebellions	Philippine_television_series_debuts_by_decade	neg	-1	0.0
Electromagnetism	1980s_in_television	neg	-1	0.0
Scientific_classification	Canadian_sportspeople_by_sport	neg	-1	0.0
Human_life_stages	History_of_the_Middle_East_by_country	neg	-1	0.0
Epistemology	Geography_of_the_United_Kingdom	neg	-1	0.0
Society	Justice	pos	3	0.6
Physical_objects	People_by_religion	neg	-1	0.0
Society	Oceanian_poets	neg	-1	0.0
Americas	Years_of_the_21st_century	neg	-1	0.0
Suicides	1964_by_continent	neg	-1	0.0
Time_travel	Heart_disease	neg	-1	0.0
Management	Centuries_in_North_America	neg	-1	0.0
Towns	Parody_television_shows	neg	-1	0.0
Political_corruption	People_convicted_of_drug_offenses	neg	-1	0.0
Building_and_structure_fires	History_of_India_by_period	pos	8	0.0
Healthy_lifestyle	1969_comedy_movies	neg	-1	0.0
Food_and_drink	Problem_solving_methods	pos	7	0.0
Waste_management	Republics	neg	-1	0.0
Cognition	American_reality_television_series_by_decade	neg	-1	0.0
Noble_gases	Sega	neg	-1	0.0
South_Asian_countries	Tamils	pos	3	0.7
Categories_by_field	Arsenic	neg	-1	0.0
Society	Social_sciences	pos	1	0.85
Optics	South_African_lawyers	neg	-1	0.0
Social_sciences_terminology	Costa_Rican_footballers	neg	-1	0.0
Intellectual_works	Drama_movies_by_genre	neg	-1	0.0
